customer_name,total_ordenes,gasto_total,ganancia_total,unidades_compradas
Nona Balk,51,6450.635,1453.4044999999999,162
Nora Paige,48,9797.922,3035.66246,164
Nora Pelletier,66,7981.385,1559.0269,244
Nora Preis,62,8146.782,375.5511999999999,247
Odella Nelson,74,13711.567,2783.30724,262
Olvera Toch,73,11015.752,1831.00136,262
Pamela Coakley,48,9298.644,-420.10256,159
Pamela Stobb,66,10320.322,1293.1114000000002,252
Parhena Norris,58,9657.239,2205.4628199999997,213
Patricia Hirasaki,41,6031.156,2743.6261,135
Patrick Bzostek,62,7986.878,1743.07944,210
Patrick Gardner,78,9438.05,1975.1888999999999,262
Patrick Jones,45,5189.262,4019.1325,155
Patrick O'Brill,102,15229.494,3778.3637,370
Patrick O'Donnell,78,10525.513,4618.1191,275
Patrick Ryan,72,14330.0,409.1254200000001,283
Paul Gonzalez,92,15922.0,1620.1805,337
Paul Knutson,39,7092.141,-308.48944000000006,126
Paul Lucas,47,7355.6669999999995,2006.5049,173
Paul MacIntyre,48,5524.83,1178.3952,148
Paul Prost,79,15856.397,2687.733,302
Paul Stevenson,68,11990.637,1834.19372,260
Paul Van Hugh,65,10387.553,4055.5694,243
Pauline Chand,48,4600.039,833.3308999999999,169
Pauline Johnson,65,7982.87,2102.4930600000002,222
Pauline Webber,69,9348.544,1944.80136,242
Penelope Sewall,82,11282.819,4338.8111,282
Pete Armstrong,56,6420.978,1555.35456,193
Pete Kriz,73,9836.829,1664.5781,251
Pete Takahito,51,10353.703,609.7002,184
Peter Bühler,47,6724.1759999999995,1936.1847,161
Peter Fuller,87,8700.197,1063.2913599999997,280
Peter McVee,46,7988.303,1018.6375999999999,149
Philip Brown,76,10084.303,1271.84916,240
Philip Fox,67,12299.737,1908.8786,249
Philisse Overcash,73,10156.835,2175.7896,231
Phillina Ober,69,9663.445,-1026.1020199999998,259
Phillip Breyer,84,14830.448,1403.958,319
Phillip Flathmann,68,10201.194,940.8555000000001,219
Pierre Wener,61,5882.542,1942.2988,189
Quincy Jones,53,6973.623,2243.1929,213
Rachel Payne,74,7021.984,1902.7221,242
Ralph Arnett,88,15855.196,2613.0752,263
Ralph Kennedy,64,9273.729,-1555.7894199999998,208
Ralph Ritter,54,9309.279,2838.98338,143
Randy Bradley,83,16405.499,4151.35242,299
Randy Ferguson,63,10503.101,3093.9550000000004,232
Raymond Buch,71,9946.673999999999,8453.0495,262
Raymond Messe,62,10595.729,1855.40302,210
Resi Pölking,91,13021.041,1068.3838,303
Ricardo Emerson,59,9879.164,2643.68018,181
Ricardo Sperren,68,10312.124,1823.65088,208
Richard Bierner,67,9039.762999999999,-1125.65658,224
Richard Eichhorn,67,9817.529,2391.41164,208
Rick Bensley,79,14265.595,4066.46,329
Rick Duston,66,11146.406,3587.4449,236
Rick Hansen,56,7630.734,1850.8903,230
Rick Huthwaite,58,8478.964,1664.66446,182
Rick Reed,73,13362.023,-47.98279999999996,264
Rick Wilson,68,12977.16,5177.4288,265
Ritsa Hightower,60,10216.486,2002.8037,213
Rob Beeghly,62,7302.251,1495.9239,241
Rob Dowd,90,11968.523,3919.9697,301
Rob Haberlin,47,4991.981,1222.37166,144
Rob Lucas,65,8975.322,2703.98888,220
Rob Williams,48,7581.409,2252.2208,144
Robert Barroso,45,5073.184,640.1234,143
Robert Dilbeck,56,8650.701,3965.8731,187
Robert Marley,47,8351.521,2542.2423,162
Robert Waldorf,64,7424.177,2137.0023,214
Roger Barcio,54,9135.175,2879.5411,150
Roger Demir,77,10079.663,3037.0109,269
Roland Fjeld,59,10200.892,1123.5285,210
Roland Murray,37,4916.489,1250.33376,118
Roland Schwarz,49,10523.589,3472.16638,175
Rose O'Brian,79,12571.35,868.8818999999999,291
Ross Baird,77,12604.716,2350.5301400000003,310
Ross DeVincentis,70,8732.571,1939.89446,270
Roy Collins,45,5523.435,737.7457,172
Roy Französisch,78,12698.956,2841.73178,272
Roy Phan,72,11472.141,138.85420000000005,254
Roy Skaria,56,8121.0,1463.42858,209
Ruben Ausman,75,11153.79,3320.46868,240
Ruben Dartt,86,12320.006,3330.6742,284
Russell Applegate,76,11694.713,2164.19772,267
Russell D'Ascenzo,71,8595.231,1230.36572,231
Ryan Akin,55,8170.577,896.7278,172
Ryan Crowe,50,8532.008,2124.0154,161
Sally Hughsby,77,12011.946,1795.36144,293
Sally Knutson,62,8427.869,2975.51382,231
Sally Matthias,54,5537.533,1528.3608,170
Sam Craven,69,11056.0,1116.0096,245
Sam Zeldin,77,12042.323,2915.8473,262
Sample Company A,90,13124.011,18.425320000000013,309
Sandra Flanagan,51,9518.742,1865.6513,180
Sandra Glassco,50,9274.581,2883.7084,148
Sanjit Chand,69,10591.948,8205.3799,244
Sanjit Engle,82,14146.012999999999,6015.78392,299
Sanjit Jacobs,79,8354.172,1828.0039,268
Saphhira Shifley,84,11426.218,-612.3282600000003,326
Sara Luxemburg,82,12330.501,1899.9305000000002,250
Sarah Bern,50,10443.164,2366.9597999999996,158
Sarah Brown,71,12607.702,1668.65412,262
Sarah Foster,73,9192.473,829.7639999999999,256
Sarah Jordon,79,10348.726999999999,2511.86098,290
Scot Coram,64,9267.874,3071.368,259
Scot Wooten,56,10066.418,1948.35962,209
Scott Cohen,74,9713.826000000001,1222.6707999999999,242
Scott Williamson,68,12349.699,1044.1871999999998,255
Sean Braxton,53,7861.665,-1896.9793,208
Sean Christensen,76,8108.811,462.27869999999996,257
Sean Miller,50,5672.527,-409.70634000000007,169
Sean O'Donnell,60,11192.179,2407.04362,204
Sean Wendt,46,4916.255,1031.54774,149
Seth Vernon,85,14912.736,2222.7536800000003,317
Shahid Collister,85,11621.063,1692.37974,330
Shahid Hopkins,68,11787.193,1059.23294,223
Shahid Shariari,67,8943.173,131.5111800000001,224
Sharelle Roach,52,8605.404,-2551.18846,206
Shaun Chance,56,7146.466,357.01936,185
Shaun Weien,42,6029.22,1163.569,113
Sheri Gordon,59,8208.615,2338.9888,210
Shirley Daniels,85,11665.3,3647.2210999999998,303
Shirley Jackson,52,7849.541,1581.8093,215
Shirley Schmidt,36,5215.6900000000005,416.34612,150
Shui Tom,65,7936.077,2234.10296,207
Sibella Parks,36,5936.286,749.227,144
Skye Norling,67,9320.909,-2637.9805,232
Sonia Cooley,57,8603.41,938.0015999999999,214
Sonia Sunley,61,9457.664,2370.1265,213
Speros Goranitis,66,8295.657,1541.10256,224
Stefania Perrino,78,8665.763,17.04149999999992,285
Stefanie Holloman,55,10011.198,1978.1796000000002,202
Stephanie Phelps,46,5081.076,1682.80564,170
Stephanie Ulpright,72,9200.58,510.2519,235
Steve Carroll,71,12462.368,1708.7930800000001,258
Steve Chapman,74,13179.232,2165.6836,293
Steve Nguyen,61,9047.361,2384.85126,233
Steven Cartwright,73,11712.211,2066.03938,324
Steven Roelle,65,10629.753,4387.3584,218
Steven Ward,106,15993.685,2794.7316,383
Stewart Carmichael,83,15453.077,318.0876800000001,308
Stewart Visinsky,75,11180.057999999999,2182.7873,274
Stuart Calhoun,45,3590.826,1276.3538,168
Stuart Van,62,10561.758,978.6733800000001,227
Sue Ann Reed,64,9973.527,1354.7027600000001,227
Sung Chung,46,7934.334,1696.6987199999999,184
Sung Pak,52,6196.307,1750.68106,168
Sung Shariari,43,5331.0,-559.9772,150
Susan Gilcrest,58,9348.341,541.3085599999999,192
Susan MacKendrick,41,7226.409,1528.2749000000001,133
Susan Pistek,68,10546.492,6484.40726,235
Susan Vittorini,67,12053.639,668.4789000000001,229
Suzanne McNair,64,10003.887,1170.85834,212
Sylvia Foulston,47,5362.898,1895.183,154
Tamara Chand,88,10574.905,8672.8989,271
Tamara Dahlen,58,5002.704,-948.1228,184
Tamara Manning,55,7354.114,1928.1339,200
Tamara Willingham,59,5946.318,3275.0801,194
Tanja Norvell,53,7270.327,-706.1821600000001,179
Ted Butterfield,76,10025.011,1559.26902,326
Ted Trevino,64,10553.698,2320.3586,229
Thais Sissman,60,6787.0,1109.5608,188
Thea Hendricks,59,11674.87,1952.4961,193
Thea Hudgings,64,11196.161,2265.68778,222
Theone Pippenger,88,17422.549,2073.88638,304
Theresa Coyne,84,13895.332,3359.81226,332
Theresa Swint,63,6535.402,1134.0224,195
Thomas Boland,69,11217.216,2286.4019,256
Thomas Brumley,38,8181.627,2052.3113200000003,147
Thomas Seio,68,8492.044,2349.54862,218
Thomas Thornton,63,9782.278,1661.20726,234
Tiffany House,67,8485.327,1656.2869999999998,196
Tim Brockman,89,12186.923,3065.7062,305
Tim Taslimi,55,6961.821,1284.8362,150
Toby Braunhardt,67,10413.287,1247.46136,212
Toby Carlisle,67,12024.11,1497.4768000000001,238
Toby Gnade,63,11006.017,2986.457,221
Toby Ritter,65,9780.649,2436.90546,205
Toby Swindell,76,12867.77,2602.96458,249
Todd Boyes,67,7157.492,772.014,234
Todd Sumrall,75,13681.108,5093.9654,228
Tom Ashbrook,80,12296.221,6311.9791,284
Tom Boeckenhauer,93,13356.135,4196.3499,283
Tom Prescott,50,8462.416,346.1872200000001,175
Tom Stivers,69,9491.859,2364.9883,240
Tom Zandusky,73,12857.493,367.4914000000001,222
Tonja Turnell,84,11986.107,2230.7893599999998,283
Tony Chapman,67,9129.507,1401.12856,227
Tony Molinari,80,11217.76,1500.9713,232
Tony Sayre,66,10429.314,2149.3462,219
Tracy Blumstein,91,14893.816,257.36161999999985,314
Tracy Collins,55,9812.288,382.99710000000005,192
Tracy Hopkins,55,9610.488,-733.7475000000003,189
Tracy Poddar,68,10851.44,1795.66,253
Tracy Zic,48,6416.448,-80.11549999999995,163
Troy Blackwell,46,7944.244,1438.6508999999999,163
Troy Staebel,83,14069.518,1719.5679,313
Trudy Brown,69,11761.32,1500.6631,230
Trudy Glocke,75,9821.071,3096.2398,288
Trudy Schmidt,56,7978.004,1025.6195,182
Valerie Dominguez,67,11395.596,2031.9158,235
Valerie Mitchum,68,8204.369,-1645.79878,219
Valerie Takahito,72,13237.137,1090.7832,260
Vicky Freymann,49,5556.0509999999995,26.11299999999992,179
Victor Preis,58,9151.914,2232.7958,199
Victoria Brennan,45,9631.115,908.5638,184
Victoria Pisteka,60,11268.293,2390.8627,226
Victoria Wilson,66,10844.201000000001,294.38090000000005,249
Vivek Gonzalez,50,8614.683,-364.4246999999999,167
Vivek Grady,61,10194.586,4046.90616,209
Vivek Sundaresam,40,6401.017,1586.6187,143
Vivian Mathis,36,3891.0,656.9143,120
William Brown,84,14765.123,2547.9023,298
Xylona Preis,61,7018.189,1304.7226,213
Yana Sorensen,62,9356.688,3450.4063,215
Yoseph Carroll,56,7766.411,4347.1766,203
Zuschuss Carroll,85,10632.87,436.93626,334
Zuschuss Donatelli,54,10305.131,201.73710000000005,174
