customer_name,recencia,frecuencia_compra,productos_distintos,unidades_totales,gasto_total,ticket_promedio
Logan Currie,9,71,70,257,14011.073,197.33905633802817
Logan Haushalter,285,72,71,233,10079.216,139.98911111111113
Lori Olson,5,69,69,232,10861.682,157.4156811594203
Luke Foster,2,61,61,246,8313.114,136.28055737704918
Luke Schmidt,99,58,57,208,11389.214,196.36575862068966
Luke Weiss,9,53,53,193,7030.026,132.642
Lycoris Saunders,248,79,78,223,11739.0,148.59493670886076
Lynn Smith,32,54,54,201,9437.278,174.76440740740742
Magdelene Morse,4,66,66,225,9412.825,142.6185606060606
Marc Crier,35,69,69,212,11965.027,173.4061884057971
Marc Harrigan,10,64,64,255,13954.448,218.03825
Maria Bertelson,64,60,60,208,7577.044,126.28406666666666
Maria Etezadi,31,84,84,296,18245.015,217.20255952380953
Maria Zettner,8,53,53,179,9767.201000000001,184.28681132075474
Maribeth Dona,7,70,68,252,11255.58,160.794
Maribeth Schnelling,34,79,79,280,11395.296,144.24425316455697
Maribeth Yedwab,11,56,56,207,9958.52,177.8307142857143
Marina Lichtenstein,72,57,57,205,7526.037,132.03573684210528
Maris LaWare,2,60,59,193,11652.526,194.20876666666666
Mark Cousins,70,74,74,268,9818.736,132.68562162162164
Mark Haberlin,72,73,73,216,7488.819,102.58656164383562
Mark Hamilton,155,64,64,203,12105.621,189.150328125
Mark Packer,162,52,52,214,8781.21,168.86942307692306
Mark Van Huff,1,57,57,181,10395.124,182.37059649122807
Mary O'Rourke,98,57,57,187,8756.372,153.62056140350876
Mary Zewe,123,77,77,269,12350.231,160.39261038961038
MaryBeth Skach,37,63,63,187,9760.035,154.92119047619047
Mathew Reese,40,76,75,267,16130.45,212.24276315789476
Matt Abelman,550,82,82,255,12447.0,151.79268292682926
Matt Collins,127,75,75,277,13457.444,179.43258666666665
Matt Collister,7,55,55,194,6895.783,125.37787272727273
Matt Connell,2,58,57,198,10906.326000000001,188.0401034482759
Matt Hagelstein,65,60,60,174,10044.175,167.40291666666664
Matthew Clasen,98,80,80,288,10739.077,134.2384625
Matthew Grinstein,1,51,51,199,10687.332,209.55552941176472
Maureen Fritzler,37,56,56,199,9338.195,166.75348214285714
Maureen Gastineau,33,83,82,279,10654.718,128.37009638554218
Maureen Gnade,285,74,73,293,10251.083,138.52814864864865
Maurice Satty,304,61,61,194,7484.549,122.69752459016394
Max Engle,41,72,72,224,9924.0,137.83333333333334
Max Jones,10,60,58,193,12013.477,200.2246166666667
Max Ludwig,2,63,63,216,11780.757,186.99614285714284
Maxwell Schwartz,2,73,72,259,10309.626,141.22775342465755
Maya Herman,159,62,62,220,11094.5,178.94354838709677
Meg O'Connel,68,58,58,230,7973.04,137.4662068965517
Meg Tillman,2,59,59,197,10169.182,172.35901694915256
Melanie Seite,103,70,70,231,11891.217,169.87452857142858
Michael Chen,5,65,64,185,10069.875,154.92115384615386
Michael Dominguez,554,59,59,250,9178.262,155.56376271186443
Michael Grace,34,61,61,211,7876.662,129.12560655737704
Michael Granlund,132,63,63,226,5739.453,91.10242857142858
Michael Kennedy,62,74,74,292,10643.807,143.83522972972975
Michael Moore,94,78,76,271,9248.494,118.5704358974359
Michael Nguyen,41,55,54,212,10712.339,194.7698
Michael Oakman,216,29,29,79,2832.634,97.67703448275861
Michael Paige,9,94,93,314,12241.56,130.22936170212765
Michael Stewart,7,77,77,259,8508.37,110.4983116883117
Michelle Arnett,73,59,59,199,6987.95,118.43983050847457
Michelle Ellison,188,49,48,148,9079.63,185.29857142857142
Michelle Huthwaite,2,50,50,191,10333.52,206.6704
Michelle Lonsdale,158,47,47,149,7890.479,167.88253191489363
Michelle Moray,68,66,66,210,10126.965,153.43886363636364
Michelle Tran,37,68,68,253,9327.46,137.1685294117647
Mick Brown,65,71,71,226,10084.373,142.03342253521126
Mick Crebagga,8,62,62,228,10663.352,171.9895483870968
Mick Hernandez,40,67,66,220,9778.5,145.94776119402985
Mike Caudle,9,57,57,214,8336.02,146.2459649122807
Mike Gockenbach,10,51,51,185,6885.509,135.00998039215688
Mike Kennedy,69,82,81,278,9689.055,118.15920731707317
Mike Pelletier,41,82,82,276,15031.194,183.307243902439
Mike Vittorini,1,62,62,223,9885.696,159.44670967741936
Mitch Gastineau,7,68,68,218,11038.978,162.33791176470586
Mitch Webber,39,74,74,273,11805.276,159.53075675675674
Mitch Willingham,310,66,65,217,11380.635,172.43386363636364
Monica Federle,5,86,85,295,14170.780999999999,164.77652325581394
Muhammed Lee,161,71,71,236,10799.057,152.0993943661972
Muhammed MacIntyre,2,55,55,187,7814.908,142.08923636363636
Muhammed Yedwab,5,108,106,351,16104.553,149.1162314814815
Nancy Lomonaco,127,43,43,162,5719.126,133.00293023255816
Naresj Patel,36,65,65,211,9136.985,140.56900000000002
Nat Carroll,68,76,76,246,11105.513,146.1251710526316
Nat Gilpin,4,66,66,186,9875.142,149.62336363636362
Natalie DeCherney,71,63,63,223,10387.325,164.8781746031746
Natalie Fritzler,2,95,94,325,15029.765,158.20805263157894
Natalie Webber,6,79,79,258,10951.434,138.62574683544304
Nathan Cano,221,49,49,148,5757.007,117.4899387755102
Nathan Gelder,187,65,65,243,11706.026,180.0927076923077
Nathan Mautz,34,75,75,253,15559.727,207.46302666666668
Neil Ducich,37,57,57,195,7265.522,127.46529824561404
Neil Französisch,100,62,62,186,8695.957,140.25737096774193
Neil Knudson,126,63,63,222,11036.841,175.1879523809524
Neola Schneider,7,75,75,292,11567.238,154.22984
Neoma Murray,1,54,53,240,5900.979,109.2773888888889
Nick Crebassa,3,50,50,149,7506.8,150.136
Nick Radford,37,68,68,212,12891.0,189.5735294117647
Nick Zandusky,156,66,65,235,9901.380000000001,150.0209090909091
Nicole Brennan,582,31,30,93,3467.47,111.85387096774193
Nicole Fjeld,126,43,43,163,8158.114,189.72358139534882
Nicole Hansen,4,72,72,276,15283.027,212.26426388888888
Noah Childs,31,59,59,212,12423.927,210.57503389830507
Noel Staavos,9,92,92,318,14300.345,155.43853260869565
Nona Balk,1,51,51,162,6450.635,126.48303921568628
Nora Paige,277,48,48,164,9797.922,204.123375
Nora Pelletier,37,66,66,244,7981.385,120.93007575757576
Nora Preis,7,62,61,247,8146.782,131.39970967741937
Odella Nelson,63,74,74,262,13711.567,185.29144594594592
Olvera Toch,39,73,73,262,11015.752,150.90071232876713
Pamela Coakley,62,48,48,159,9298.644,193.72175000000001
Pamela Stobb,33,66,66,252,10320.322,156.36851515151514
Parhena Norris,5,58,57,213,9657.239,166.50412068965517
Patricia Hirasaki,126,41,40,135,6031.156,147.10136585365854
Patrick Bzostek,36,62,62,210,7986.878,128.8206129032258
Patrick Gardner,2,78,77,262,9438.05,121.00064102564102
Patrick Jones,32,45,45,155,5189.262,115.31693333333332
Patrick O'Brill,98,102,102,370,15229.494,149.30876470588237
Patrick O'Donnell,40,78,78,275,10525.513,134.94247435897438
Patrick Ryan,159,72,71,283,14330.0,199.02777777777777
Paul Gonzalez,123,92,91,337,15922.0,173.06521739130434
Paul Knutson,95,39,39,126,7092.141,181.84976923076923
Paul Lucas,2,47,47,173,7355.6669999999995,156.50355319148935
Paul MacIntyre,34,48,48,148,5524.83,115.100625
Paul Prost,98,79,79,302,15856.397,200.71388607594938
Paul Stevenson,67,68,68,260,11990.637,176.33289705882353
Paul Van Hugh,7,65,65,243,10387.553,159.8085076923077
Pauline Chand,10,48,46,169,4600.039,95.83414583333332
Pauline Johnson,1,65,65,222,7982.87,122.81338461538462
Pauline Webber,2,69,69,242,9348.544,135.48614492753623
Penelope Sewall,31,82,82,282,11282.819,137.59535365853657
Pete Armstrong,32,56,56,193,6420.978,114.66032142857144
Pete Kriz,97,73,73,251,9836.829,134.75108219178082
Pete Takahito,97,51,51,184,10353.703,203.0137843137255
Peter Bühler,246,47,47,161,6724.1759999999995,143.0675744680851
Peter Fuller,94,87,85,280,8700.197,100.0022643678161
Peter McVee,63,46,46,149,7988.303,173.6587608695652
Philip Brown,35,76,76,240,10084.303,132.68819736842104
Philip Fox,11,67,67,249,12299.737,183.57816417910448
Philisse Overcash,251,73,73,231,10156.835,139.13472602739725
Phillina Ober,163,69,69,259,9663.445,140.04992753623188
Phillip Breyer,97,84,84,319,14830.448,176.55295238095238
Phillip Flathmann,64,68,68,219,10201.194,150.0175588235294
Pierre Wener,279,61,61,189,5882.542,96.43511475409836
Quincy Jones,37,53,53,213,6973.623,131.57779245283018
Rachel Payne,70,74,72,242,7021.984,94.89167567567569
Ralph Arnett,127,88,87,263,15855.196,180.17268181818181
Ralph Kennedy,156,64,64,208,9273.729,144.902015625
Ralph Ritter,1,54,54,143,9309.279,172.39405555555555
Randy Bradley,5,83,83,299,16405.499,197.65661445783132
Randy Ferguson,133,63,63,232,10503.101,166.71588888888888
Raymond Buch,31,71,70,262,9946.673999999999,140.094
Raymond Messe,62,62,61,210,10595.729,170.89885483870967
Resi Pölking,34,91,91,303,13021.041,143.08836263736262
Ricardo Emerson,2,59,59,181,9879.164,167.44345762711865
Ricardo Sperren,7,68,68,208,10312.124,151.64888235294117
Richard Bierner,1,67,67,224,9039.762999999999,134.9218358208955
Richard Eichhorn,123,67,67,208,9817.529,146.53028358208957
Rick Bensley,95,79,78,329,14265.595,180.57715189873417
Rick Duston,68,66,65,236,11146.406,168.88493939393942
Rick Hansen,12,56,56,230,7630.734,136.26310714285714
Rick Huthwaite,31,58,57,182,8478.964,146.18903448275861
Rick Reed,2,73,73,264,13362.023,183.0414109589041
Rick Wilson,130,68,68,265,12977.16,190.84058823529412
Ritsa Hightower,1,60,60,213,10216.486,170.2747666666667
Rob Beeghly,31,62,62,241,7302.251,117.77824193548388
Rob Dowd,4,90,90,301,11968.523,132.98358888888887
Rob Haberlin,8,47,47,144,4991.981,106.21236170212765
Rob Lucas,70,65,65,220,8975.322,138.08187692307692
Rob Williams,39,48,48,144,7581.409,157.94602083333334
Robert Barroso,132,45,45,143,5073.184,112.73742222222222
Robert Dilbeck,41,56,55,187,8650.701,154.47680357142855
Robert Marley,5,47,47,162,8351.521,177.69193617021278
Robert Waldorf,34,64,64,214,7424.177,116.002765625
Roger Barcio,155,54,54,150,9135.175,169.1699074074074
Roger Demir,62,77,77,269,10079.663,130.9047142857143
Roland Fjeld,92,59,59,210,10200.892,172.89647457627117
Roland Murray,5,37,37,118,4916.489,132.87808108108106
Roland Schwarz,95,49,49,175,10523.589,214.7671224489796
Rose O'Brian,72,79,78,291,12571.35,159.13101265822786
Ross Baird,34,77,76,310,12604.716,163.6976103896104
Ross DeVincentis,124,70,69,270,8732.571,124.75101428571429
Roy Collins,222,45,45,172,5523.435,122.74300000000001
Roy Französisch,1,78,77,272,12698.956,162.8071282051282
Roy Phan,62,72,71,254,11472.141,159.33529166666665
Roy Skaria,1,56,55,209,8121.0,145.01785714285714
Ruben Ausman,70,75,75,240,11153.79,148.71720000000002
Ruben Dartt,97,86,85,284,12320.006,143.25588372093023
Russell Applegate,35,76,76,267,11694.713,153.87780263157893
Russell D'Ascenzo,39,71,71,231,8595.231,121.05959154929577
Ryan Akin,31,55,55,172,8170.577,148.55594545454545
Ryan Crowe,4,50,50,161,8532.008,170.64016
Sally Hughsby,96,77,77,293,12011.946,155.9992987012987
Sally Knutson,188,62,62,231,8427.869,135.93337096774195
Sally Matthias,188,54,53,170,5537.533,102.54690740740742
Sam Craven,39,69,69,245,11056.0,160.231884057971
Sam Zeldin,65,77,77,262,12042.323,156.3938051948052
Sample Company A,9,90,90,309,13124.011,145.82234444444444
Sandra Flanagan,277,51,51,180,9518.742,186.642
Sandra Glassco,398,50,50,148,9274.581,185.49162
Sanjit Chand,156,69,69,244,10591.948,153.5064927536232
Sanjit Engle,130,82,82,299,14146.012999999999,172.51235365853657
Sanjit Jacobs,5,79,77,268,8354.172,105.74901265822785
Saphhira Shifley,37,84,84,326,11426.218,136.02640476190476
Sara Luxemburg,34,82,80,250,12330.501,150.37196341463414
Sarah Bern,72,50,50,158,10443.164,208.86328
Sarah Brown,42,71,69,262,12607.702,177.5732676056338
Sarah Foster,5,73,72,256,9192.473,125.92428767123288
Sarah Jordon,35,79,78,290,10348.726999999999,130.99654430379746
Scot Coram,216,64,64,259,9267.874,144.81053125
Scot Wooten,33,56,56,209,10066.418,179.7574642857143
Scott Cohen,5,74,74,242,9713.826000000001,131.26791891891892
Scott Williamson,2,68,68,255,12349.699,181.6132205882353
Sean Braxton,65,53,53,208,7861.665,148.33330188679244
Sean Christensen,37,76,76,257,8108.811,106.69488157894736
Sean Miller,62,50,50,169,5672.527,113.45054
Sean O'Donnell,65,60,60,204,11192.179,186.53631666666666
Sean Wendt,68,46,45,149,4916.255,106.87510869565217
Seth Vernon,158,85,84,317,14912.736,175.4439529411765
Shahid Collister,40,85,85,330,11621.063,136.71838823529413
Shahid Hopkins,34,68,68,223,11787.193,173.34107352941174
Shahid Shariari,4,67,67,224,8943.173,133.48019402985076
Sharelle Roach,93,52,52,206,8605.404,165.48853846153847
Shaun Chance,32,56,56,185,7146.466,127.6154642857143
Shaun Weien,65,42,42,113,6029.22,143.55285714285714
Sheri Gordon,40,59,59,210,8208.615,139.12906779661017
Shirley Daniels,4,85,85,303,11665.3,137.23882352941175
Shirley Jackson,97,52,51,215,7849.541,150.95271153846153
Shirley Schmidt,407,36,35,150,5215.6900000000005,144.8802777777778
Shui Tom,37,65,64,207,7936.077,122.09349230769232
Sibella Parks,67,36,36,144,5936.286,164.89683333333335
Skye Norling,34,67,66,232,9320.909,139.1180447761194
Sonia Cooley,10,57,55,214,8603.41,150.93701754385964
Sonia Sunley,249,61,61,213,9457.664,155.04367213114756
Speros Goranitis,8,66,66,224,8295.657,125.69177272727272
Stefania Perrino,65,78,78,285,8665.763,111.09952564102565
Stefanie Holloman,95,55,55,202,10011.198,182.02178181818184
Stephanie Phelps,6,46,46,170,5081.076,110.45817391304348
Stephanie Ulpright,31,72,72,235,9200.58,127.78583333333333
Steve Carroll,62,71,71,258,12462.368,175.52630985915494
Steve Chapman,35,74,74,293,13179.232,178.09772972972974
Steve Nguyen,164,61,61,233,9047.361,148.31739344262297
Steven Cartwright,127,73,73,324,11712.211,160.44124657534246
Steven Roelle,62,65,64,218,10629.753,163.53466153846153
Steven Ward,2,106,104,383,15993.685,150.88382075471696
Stewart Carmichael,134,83,83,308,15453.077,186.18165060240963
Stewart Visinsky,62,75,75,274,11180.057999999999,149.06743999999998
Stuart Calhoun,7,45,44,168,3590.826,79.79613333333333
Stuart Van,10,62,62,227,10561.758,170.35093548387096
Sue Ann Reed,2,64,64,227,9973.527,155.836359375
Sung Chung,8,46,46,184,7934.334,172.48552173913043
Sung Pak,98,52,51,168,6196.307,119.15975
Sung Shariari,255,43,43,150,5331.0,123.97674418604652
Susan Gilcrest,185,58,58,192,9348.341,161.17829310344828
Susan MacKendrick,369,41,41,133,7226.409,176.25387804878048
Susan Pistek,282,68,68,235,10546.492,155.0954705882353
Susan Vittorini,67,67,67,229,12053.639,179.90505970149252
Suzanne McNair,184,64,63,212,10003.887,156.310734375
Sylvia Foulston,5,47,47,154,5362.898,114.10421276595746
Tamara Chand,35,88,87,271,10574.905,120.169375
Tamara Dahlen,2,58,58,184,5002.704,86.2535172413793
Tamara Manning,249,55,55,200,7354.114,133.71116363636364
Tamara Willingham,1,59,59,194,5946.318,100.78505084745763
Tanja Norvell,8,53,53,179,7270.327,137.17598113207546
Ted Butterfield,72,76,76,326,10025.011,131.90803947368423
Ted Trevino,33,64,64,229,10553.698,164.90153125
Thais Sissman,2,60,60,188,6787.0,113.11666666666666
Thea Hendricks,36,59,59,193,11674.87,197.8791525423729
Thea Hudgings,72,64,64,222,11196.161,174.940015625
Theone Pippenger,62,88,88,304,17422.549,197.98351136363635
Theresa Coyne,8,84,84,332,13895.332,165.42061904761906
Theresa Swint,250,63,63,195,6535.402,103.73653968253969
Thomas Boland,2,69,69,256,11217.216,162.56834782608695
Thomas Brumley,2,38,38,147,8181.627,215.30597368421053
Thomas Seio,215,68,68,218,8492.044,124.883
Thomas Thornton,10,63,62,234,9782.278,155.27425396825396
Tiffany House,98,67,67,196,8485.327,126.64667164179103
Tim Brockman,3,89,89,305,12186.923,136.9317191011236
Tim Taslimi,34,55,55,150,6961.821,126.57856363636364
Toby Braunhardt,73,67,67,212,10413.287,155.42219402985074
Toby Carlisle,5,67,67,238,12024.11,179.46432835820897
Toby Gnade,130,63,63,221,11006.017,174.69868253968255
Toby Ritter,164,65,63,205,9780.649,150.47152307692306
Toby Swindell,5,76,76,249,12867.77,169.31276315789475
Todd Boyes,9,67,66,234,7157.492,106.82823880597016
Todd Sumrall,6,75,75,228,13681.108,182.41477333333333
Tom Ashbrook,194,80,77,284,12296.221,153.7027625
Tom Boeckenhauer,7,93,93,283,13356.135,143.6143548387097
Tom Prescott,72,50,50,175,8462.416,169.24831999999998
Tom Stivers,1,69,69,240,9491.859,137.56317391304347
Tom Zandusky,4,73,73,222,12857.493,176.13004109589042
Tonja Turnell,188,84,84,283,11986.107,142.69175
Tony Chapman,63,67,67,227,9129.507,136.26129850746267
Tony Molinari,8,80,80,232,11217.76,140.222
Tony Sayre,94,66,66,219,10429.314,158.0199090909091
Tracy Blumstein,3,91,89,314,14893.816,163.6683076923077
Tracy Collins,31,55,55,192,9812.288,178.40523636363636
Tracy Hopkins,338,55,55,189,9610.488,174.73614545454544
Tracy Poddar,127,68,67,253,10851.44,159.58
Tracy Zic,63,48,48,163,6416.448,133.67600000000002
Troy Blackwell,2,46,46,163,7944.244,172.70095652173913
Troy Staebel,31,83,83,313,14069.518,169.51226506024096
Trudy Brown,2,69,69,230,11761.32,170.45391304347825
Trudy Glocke,126,75,75,288,9821.071,130.94761333333332
Trudy Schmidt,7,56,56,182,7978.004,142.46435714285715
Valerie Dominguez,187,67,66,235,11395.596,170.0835223880597
Valerie Mitchum,155,68,68,219,8204.369,120.65248529411765
Valerie Takahito,32,72,71,260,13237.137,183.84912500000002
Vicky Freymann,40,49,49,179,5556.0509999999995,113.38879591836734
Victor Preis,185,58,58,199,9151.914,157.7916206896552
Victoria Brennan,31,45,45,184,9631.115,214.02477777777779
Victoria Pisteka,99,60,59,226,11268.293,187.80488333333332
Victoria Wilson,11,66,66,249,10844.201000000001,164.30607575757577
Vivek Gonzalez,4,50,50,167,8614.683,172.29366000000002
Vivek Grady,161,61,61,209,10194.586,167.1243606557377
Vivek Sundaresam,69,40,40,143,6401.017,160.02542499999998
Vivian Mathis,34,36,36,120,3891.0,108.08333333333333
William Brown,2,84,83,298,14765.123,175.7752738095238
Xylona Preis,64,61,61,213,7018.189,115.0522786885246
Yana Sorensen,8,62,60,215,9356.688,150.91432258064518
Yoseph Carroll,284,56,55,203,7766.411,138.6859107142857
Zuschuss Carroll,4,85,84,334,10632.87,125.09258823529413
Zuschuss Donatelli,7,54,53,174,10305.131,190.83575925925925
